Time,Displacement,Force
0.21,0.0123,0.0061
0.211,0.0124,0.0062
0.212,0.0125,0.0062
0.213,0.0126,0.0063
0.214,0.0127,0.0064
0.215,0.0128,0.0064
0.216,0.0129,0.0065
0.217,0.013,0.0065
0.218,0.0131,0.0066
0.219,0.0132,0.0066
0.22,0.0133,0.0067
0.221,0.0134,0.0067
0.222,0.0135,0.0068
0.223,0.0136,0.0069
0.224,0.0137,0.0069
0.225,0.0138,0.007
0.226,0.0139,0.007
0.227,0.014,0.0071
0.228,0.0141,0.0071
0.229,0.0142,0.0072
0.23,0.0143,0.0072
0.231,0.0144,0.0072
0.232,0.0145,0.0073
0.233,0.0146,0.0073
0.234,0.0147,0.0074
0.235,0.0148,0.0074
0.236,0.0149,0.0074
0.237,0.015,0.0075
0.238,0.015,0.0075
0.239,0.0151,0.0076
0.24,0.0152,0.0076
0.241,0.0153,0.0076
0.242,0.0154,0.0077
0.243,0.0155,0.0077
0.244,0.0156,0.0077
0.245,0.0157,0.0078
0.246,0.0158,0.0078
0.247,0.0159,0.0078
0.248,0.0159,0.0079
0.249,0.016,0.0079
0.25,0.0161,0.0079
0.251,0.0162,0.008
0.252,0.0163,0.008
0.253,0.0164,0.0081
0.254,0.0165,0.0081
0.255,0.0165,0.0081
0.256,0.0166,0.0082
0.257,0.0167,0.0082
0.258,0.0168,0.0082
0.259,0.0169,0.0083
0.26,0.0169,0.0083
0.261,0.017,0.0083
0.262,0.0171,0.0084
0.263,0.0172,0.0084
0.264,0.0173,0.0085
0.265,0.0173,0.0085
0.266,0.0174,0.0085
0.267,0.0175,0.0086
0.268,0.0176,0.0086
0.269,0.0176,0.0086
0.27,0.0177,0.0087
0.271,0.0178,0.0087
0.272,0.0179,0.0087
0.273,0.0179,0.0088
0.274,0.018,0.0088
0.275,0.0181,0.0088
0.276,0.0182,0.0089
0.277,0.0182,0.0089
0.278,0.0183,0.0089
0.279,0.0184,0.009
0.28,0.0185,0.009
0.281,0.0185,0.009
0.282,0.0186,0.0091
0.283,0.0187,0.0091
0.284,0.0188,0.0091
0.285,0.0188,0.0092
0.286,0.0189,0.0092
0.287,0.019,0.0092
0.288,0.0191,0.0093
0.289,0.0191,0.0093
0.29,0.0192,0.0093
0.291,0.0193,0.0094
0.292,0.0194,0.0094
0.293,0.0194,0.0095
0.294,0.0195,0.0095
0.295,0.0196,0.0095
0.296,0.0197,0.0096
0.297,0.0198,0.0096
0.298,0.0198,0.0097
0.299,0.0199,0.0097
0.3,0.02,0.0097
0.301,0.0201,0.0098
0.302,0.0202,0.0098
0.303,0.0203,0.0098
0.304,0.0203,0.0099
0.305,0.0204,0.0099
0.306,0.0205,0.01
0.307,0.0206,0.01
0.308,0.0207,0.01
0.309,0.0208,0.0101
0.31,0.0209,0.0101
0.311,0.021,0.0101
0.312,0.021,0.0102
0.313,0.0211,0.0102
0.314,0.0212,0.0103
0.315,0.0213,0.0103
0.316,0.0214,0.0104
0.317,0.0215,0.0104
0.318,0.0216,0.0104
0.319,0.0217,0.0105
0.32,0.0218,0.0105
0.321,0.0219,0.0106
0.322,0.022,0.0106
0.323,0.0221,0.0107
0.324,0.0222,0.0107
0.325,0.0222,0.0108
0.326,0.0223,0.0108
0.327,0.0224,0.0109
0.328,0.0225,0.0109
0.329,0.0226,0.011
0.33,0.0227,0.011
0.331,0.0228,0.0111
0.332,0.0229,0.0111
0.333,0.023,0.0111
0.334,0.0231,0.0112
0.335,0.0232,0.0112
0.336,0.0233,0.0113
0.337,0.0233,0.0113
0.338,0.0234,0.0113
0.339,0.0235,0.0114
0.34,0.0236,0.0114
0.341,0.0237,0.0115
0.342,0.0238,0.0115
0.343,0.0239,0.0116
0.344,0.024,0.0116
0.345,0.0241,0.0117
0.346,0.0241,0.0117
0.347,0.0242,0.0117
0.348,0.0243,0.0118
0.349,0.0244,0.0118
0.35,0.0245,0.0119
0.351,0.0246,0.0119
0.352,0.0246,0.0119
0.353,0.0247,0.012
0.354,0.0248,0.012
0.355,0.0249,0.012
0.356,0.025,0.0121
0.357,0.0251,0.0121
0.358,0.0252,0.0122
0.359,0.0252,0.0122
0.36,0.0253,0.0122
0.361,0.0254,0.0123
0.362,0.0255,0.0123
0.363,0.0256,0.0124
0.364,0.0257,0.0124
0.365,0.0257,0.0125
0.366,0.0258,0.0125
0.367,0.0259,0.0125
0.368,0.026,0.0126
0.369,0.0261,0.0126
0.37,0.0262,0.0127
0.371,0.0262,0.0127
0.372,0.0263,0.0128
0.373,0.0264,0.0128
0.374,0.0265,0.0129
0.375,0.0266,0.0129
0.376,0.0267,0.0129
0.377,0.0267,0.013
0.378,0.0268,0.013
0.379,0.0269,0.0131
0.38,0.027,0.0131
0.381,0.0271,0.0132
0.382,0.0272,0.0132
0.383,0.0273,0.0132
0.384,0.0273,0.0133
0.385,0.0274,0.0133
0.386,0.0275,0.0133
0.387,0.0276,0.0134
0.388,0.0277,0.0134
0.389,0.0278,0.0134
0.39,0.0279,0.0135
0.391,0.0279,0.0135
0.392,0.028,0.0136
0.393,0.0281,0.0136
0.394,0.0282,0.0136
0.395,0.0283,0.0137
0.396,0.0283,0.0137
0.397,0.0284,0.0137
0.398,0.0285,0.0138
0.399,0.0286,0.0138
0.4,0.0287,0.0139
0.401,0.0288,0.0139
0.402,0.0288,0.0139
0.403,0.0289,0.014
0.404,0.029,0.014
0.405,0.0291,0.014
0.406,0.0291,0.0141
0.407,0.0292,0.0141
0.408,0.0293,0.0141
0.409,0.0294,0.0142
0.41,0.0295,0.0142
0.411,0.0295,0.0142
0.412,0.0296,0.0143
0.413,0.0297,0.0143
0.414,0.0298,0.0143
0.415,0.0298,0.0144
0.416,0.0299,0.0144
0.417,0.03,0.0145
0.418,0.0301,0.0145
0.419,0.0302,0.0145
0.42,0.0302,0.0146
0.421,0.0303,0.0146
0.422,0.0304,0.0146
0.423,0.0305,0.0147
0.424,0.0306,0.0147
0.425,0.0306,0.0148
0.426,0.0307,0.0148
0.427,0.0308,0.0148
0.428,0.0309,0.0149
0.429,0.031,0.0149
0.43,0.031,0.015
0.431,0.0311,0.015
0.432,0.0312,0.0151
0.433,0.0313,0.0151
0.434,0.0314,0.0151
0.435,0.0315,0.0152
0.436,0.0315,0.0152
0.437,0.0316,0.0153
0.438,0.0317,0.0153
0.439,0.0318,0.0153
0.44,0.0319,0.0154
0.441,0.032,0.0154
0.442,0.0321,0.0155
0.443,0.0321,0.0155
0.444,0.0322,0.0155
0.445,0.0323,0.0156
0.446,0.0324,0.0156
0.447,0.0325,0.0156
0.448,0.0326,0.0157
0.449,0.0327,0.0157
0.45,0.0328,0.0157
0.451,0.0329,0.0158
0.452,0.033,0.0158
0.453,0.033,0.0158
0.454,0.0331,0.0159
0.455,0.0332,0.0159
0.456,0.0333,0.016
0.457,0.0334,0.016
0.458,0.0335,0.016
0.459,0.0336,0.0161
0.46,0.0337,0.0161
0.461,0.0338,0.0162
0.462,0.0339,0.0162
0.463,0.034,0.0163
0.464,0.034,0.0163
0.465,0.0341,0.0163
0.466,0.0342,0.0164
0.467,0.0343,0.0164
0.468,0.0344,0.0165
0.469,0.0345,0.0165
0.47,0.0346,0.0166
0.471,0.0347,0.0166
0.472,0.0347,0.0166
0.473,0.0348,0.0167
0.474,0.0349,0.0167
0.475,0.035,0.0168
0.476,0.0351,0.0168
0.477,0.0352,0.0169
0.478,0.0353,0.0169
0.479,0.0353,0.0169
0.48,0.0354,0.017
